customer_account_id,customer_id,partner_id
cusa_f76aa6f86d5f4519866b5596b7ed99aa,cus_69929657963b4a9bbea65b1e66878e77,par_1
cusa_9e15f5f2fb274eb2bb4d02dd8ddc6b1e,cus_485c9e5c8cc546a2b325143dfe753005,par_1
cusa_c10d40a9dc1c4c1a84aee6b6310d9cef,cus_a68868530ed94da58bfce2add0fbbc04,par_1
cusa_36ee34ec1630496bb1626838f154186d,cus_ee8a07690c8949faaf6415ed2fa93eab,par_1
cusa_c470de11759645ee96ec8f7938e38d8b,cus_adeaf0185246452dae48f5551bcab1ea,par_1
cusa_ad7095fe5e90448f97e91fcb50d2683e,cus_06c239fdce784fdc9236b3e79ee63dda,par_1
cusa_bc7609d242514c498a68752da6749498,cus_45e9d1767554480dbb93db4930572270,par_1
cusa_fb1c0a9eb7654c1bbe1576a32c34f936,cus_f786ce7742a0428f92d2cfc52c3a783f,par_1
cusa_00f8bea5be9c4bfba8bd6e17a737afe7,cus_3c5104c71b9e40a4ae223d307d3178a0,par_1
cusa_5cb9084a07d04a8696b358f479a571d1,cus_94ccfb2901154695ad5b7d45e69162bf,par_1
cusa_87e6641b90bc431ebf8caf3ce591edbe,cus_94be96f4f14a4b17919e12af61d663b1,par_1
cusa_839cd1be333e4c96bfbc6d2257b43e76,cus_c89cd07fa3eb49dcb73050a12f55f21e,par_1
cusa_b32a94b067a6428d85d52fd0694bf202,cus_1083ad7ab73348d1bb6253a551e80722,par_1
cusa_c93bf9c6c70747679966c5e67324d76d,cus_5f4824bfd1bc4c30bd6da863092cfb68,par_1
cusa_5c94baa4b05c4c12b469302a9500f9de,cus_d81193d5ef9b494e8555842177ca367b,par_1
cusa_add038cc627b42718454c0a7ea537c46,cus_f9e218c7fcc646a78e0fa03632dd2016,par_1
cusa_b5172d9e20c84a8db71361d15e3f40bc,cus_c3634ff81c00498f8750372e7ff8cba4,par_1
cusa_01e8ff7e0e904393a204329c61d6900a,cus_18e063ad41034e698df2bab902be10e0,par_1
cusa_1976e9497f644e6eab135e4aed685631,cus_a761f815819345378a2ccd1ec66be431,par_1
cusa_b89755a45e0d482b8fab3e1005ddaace,cus_6a645c9e064e48cb81a4f22ced395fba,par_1
cusa_ec69243b809c44b4a3f0a1b8df88fad6,cus_44e76a9c59d547ae8583ab2232d8bfd9,par_1
cusa_6e6ca6050729417a8d463dd8a8ef5187,cus_5644e2cec42042f0b944cd4aeff8999a,par_1
cusa_79130f4adc3d4067a5e0b23e01b441b9,cus_83460c56b1a94553b9c656e7ef38b17a,par_1
cusa_9a3d0cbb9725491ca67cfcec4ed5e5ec,cus_9f138c7de1d04c38b73a548d092fefa4,par_1
cusa_c7ac9235eb8e4006be8aad1aea73a72f,cus_91f359a64ea44f56b005855e18e4d09d,par_1
cusa_4bfee33791d44875beb808d1e5a216ef,cus_286dc811945a4911af178c2fa31bec1a,par_1
cusa_11051ac720234fe7aab4d6ccd801446b,cus_18142cbcbaae487786f566eee7306dad,par_1
cusa_2d88b3b652f143e0ac5c6255d6dbdffe,cus_ab41a5577d9149e4b558c4443be6d312,par_1
cusa_e41787de56c9422ab10f68a5dd666c83,cus_9c9747f0e3c5483e880f930cbbeac32c,par_1
cusa_911fd0d5cb2e4b2a9987d30fb61af85e,cus_2a57d4d5e5774d9dba1c90754bc60843,par_1
cusa_1dd0fb06484c40c2a3bfbe32e557ad12,cus_bd13afa5389b4940b65027dd39cf15b4,par_1
cusa_5f615a7417974a639304507993613cbd,cus_27ec094eeee44e53bae809d3d73be448,par_1
cusa_ca3f924a0bb347afb4ac906991870102,cus_6aba4e01b76246209b7023f0302d4a06,par_1
cusa_79e1908db29b4698befc9361af4f0faa,cus_36e67075c1524559a368f4dda956f9f7,par_1
cusa_8d23a24e049044088756c02ebbbd74e9,cus_5ff6116be68346cf87af3185147bc5a1,par_1
cusa_41e7c84aefa746de9313fe0e36f78769,cus_b3879d05d4e5488c8803061303b8a454,par_1
cusa_5d73db564fa24a9c852c19637334d1e3,cus_a3bae739b2a44589bbe10f11e942493f,par_1
cusa_af7fbd31d0e648d49cad32175c5238e8,cus_e1d6381da4d747caabeb809acc31d2a3,par_1
cusa_db6898624bd34b059cfeeb76aba24501,cus_e380af35919142189bd7fe1c6c743bfa,par_1
cusa_0f8e0e99c54940019a4455505df1bd97,cus_ac2f55b71a0e428182344ef17f2b5b4d,par_1
cusa_c2627b899a0b43af84905462f7026395,cus_054028bd098143a18ca1ec9a113d253c,par_1
cusa_0c219eedf1c545d78e18a1e60f004bf8,cus_74dd3d1a02a54ef4886255ec6b0a9bec,par_1
cusa_45088f8b10254636b2e1db013fa8cce2,cus_7a2bb742add2466eacea5b619370b3e6,par_1
cusa_4e16de8c491a4ee4a7da3135f98d8c12,cus_99f80bb738ba4cc892a1559ab66faa36,par_1
cusa_451c5688cfe5411cb4709ac54f8c4ec1,cus_d7bb8c7af3ba47b286072e142c1dbcad,par_1
