instrument,price,timestamp
IE000Y77LGG9,"(9412,2,EUR)",2024-08-20T15:10:44.452Z
IE00B441G979,"(88326,3,EUR)",2024-08-20T14:45:33.051Z
IE00B1XNHC34,"(736,2,EUR)",2024-08-20T15:26:30.122Z
IE00BGV5VN51,"(11714,2,EUR)",2024-08-20T15:27:58.914Z
IE00BYXYX521,"(262701,4,EUR)",2024-08-20T13:30:20.553Z
LU0489337690,"(2416,2,EUR)",2024-08-20T15:01:07.252Z
DE0005933931,"(15286,2,EUR)",2024-08-20T15:28:28.453Z
IE00BKWQ0H23,"(24115,2,EUR)",2024-08-20T14:40:22.527Z
IE00BKWQ0F09,"(2022,1,EUR)",2024-08-20T13:39:11.181Z
LU1861137484,"(8442,2,EUR)",2024-08-20T14:16:38.492Z
IE000Y77LGG9,"(9442,2,EUR)",2024-08-21T14:59:27.040Z
IE00B441G979,"(88646,3,EUR)",2024-08-21T15:19:53.601Z
IE00B1XNHC34,"(7357,3,EUR)",2024-08-21T15:26:21.178Z
IE00BGV5VN51,"(11686,2,EUR)",2024-08-21T15:26:05.393Z
IE00BYXYX521,"(260901,4,EUR)",2024-08-21T14:01:17.249Z
LU0489337690,"(24065,3,EUR)",2024-08-21T14:54:27.967Z
DE0005933931,"(15372,2,EUR)",2024-08-21T15:11:43.757Z
IE00BKWQ0F09,"(20035,2,EUR)",2024-08-21T13:55:27.794Z
IE00BKWQ0H23,"(2406,1,EUR)",2024-08-21T14:44:02.057Z
LU1861137484,"(8458,2,EUR)",2024-08-21T15:05:50.075Z
IE000Y77LGG9,"(9475,2,EUR)",2024-08-22T14:58:23.646Z
IE00B441G979,"(88714,3,EUR)",2024-08-22T15:21:04.999Z
IE00B1XNHC34,"(7307,3,EUR)",2024-08-22T15:28:18.461Z
IE00BGV5VN51,"(11684,2,EUR)",2024-08-22T15:27:02.601Z
IE00BYXYX521,"(258401,4,EUR)",2024-08-22T13:47:46.569Z
LU0489337690,"(24355,3,EUR)",2024-08-22T15:29:30.130Z
DE0005933931,"(154,0,EUR)",2024-08-22T15:27:35.711Z
IE00BKWQ0H23,"(2433,1,EUR)",2024-08-22T13:47:08.130Z
IE00BKWQ0F09,"(19958,2,EUR)",2024-08-22T13:47:16.973Z
LU1861137484,"(8513,2,EUR)",2024-08-22T15:16:08.123Z
IE000Y77LGG9,"(9452,2,EUR)",2024-08-23T14:59:04.134Z
IE00B441G979,"(88922,3,EUR)",2024-08-23T15:03:48.944Z
IE00B1XNHC34,"(7413,3,EUR)",2024-08-23T15:29:54.835Z
IE00BGV5VN51,"(1159,1,EUR)",2024-08-23T15:22:39.171Z
IE00BYXYX521,"(260651,4,EUR)",2024-08-23T13:52:37.968Z
LU0489337690,"(2468,2,EUR)",2024-08-23T14:36:59.914Z
DE0005933931,"(15522,2,EUR)",2024-08-23T15:26:59.755Z
IE00BKWQ0H23,"(24255,2,EUR)",2024-08-23T14:50:03.298Z
IE00BKWQ0F09,"(20105,2,EUR)",2024-08-23T13:39:29.200Z
LU1861137484,"(8526,2,EUR)",2024-08-23T15:22:57.053Z
IE000Y77LGG9,"(9452,2,EUR)",2024-08-26T15:15:17.264Z
IE00B441G979,"(88878,3,EUR)",2024-08-26T14:52:20.093Z
IE00B1XNHC34,"(7486,3,EUR)",2024-08-26T15:20:43.863Z
IE00BGV5VN51,"(11564,2,EUR)",2024-08-26T15:25:53.386Z
IE00BYXYX521,"(264849,4,EUR)",2024-08-26T13:46:03.955Z
LU0489337690,"(24995,3,EUR)",2024-08-26T15:23:59.694Z
DE0005933931,"(15508,2,EUR)",2024-08-26T15:28:24.785Z
IE00BKWQ0F09,"(20355,2,EUR)",2024-08-26T13:36:18.036Z
IE00BKWQ0H23,"(24305,2,EUR)",2024-08-26T12:21:49.857Z
LU1861137484,"(8523,2,EUR)",2024-08-26T13:58:55.728Z
IE000Y77LGG9,"(9448,2,EUR)",2024-08-27T14:42:14.104Z
IE00B441G979,"(88652,3,EUR)",2024-08-27T13:45:50.586Z
IE00B1XNHC34,"(7374,3,EUR)",2024-08-27T15:29:25.289Z
IE00BGV5VN51,"(11566,2,EUR)",2024-08-27T15:11:21.908Z
IE00BYXYX521,"(263001,4,EUR)",2024-08-27T13:36:22.405Z
LU0489337690,"(24775,3,EUR)",2024-08-27T14:03:21.680Z
DE0005933931,"(15574,2,EUR)",2024-08-27T15:27:37.386Z
IE00BKWQ0F09,"(20425,2,EUR)",2024-08-27T07:30:13.284Z
IE00BKWQ0H23,"(24315,2,EUR)",2024-08-27T14:43:19.073Z
LU1861137484,"(853,1,EUR)",2024-08-27T14:32:16.617Z
IE000Y77LGG9,"(9441,2,EUR)",2024-08-28T15:20:06.192Z
IE00B441G979,"(88954,3,EUR)",2024-08-28T14:27:18.669Z
IE00B1XNHC34,"(7401,3,EUR)",2024-08-28T15:27:57.268Z
IE00BGV5VN51,"(11462,2,EUR)",2024-08-28T15:29:21.573Z
IE00BYXYX521,"(259699,4,EUR)",2024-08-28T12:22:03.761Z
LU0489337690,"(2484,2,EUR)",2024-08-28T15:28:54.262Z
DE0005933931,"(15646,2,EUR)",2024-08-28T15:20:32.785Z
IE00BKWQ0F09,"(20145,2,EUR)",2024-08-28T12:03:38.190Z
IE00BKWQ0H23,"(2444,1,EUR)",2024-08-28T15:17:03.048Z
LU1861137484,"(8558,2,EUR)",2024-08-28T15:22:20.779Z
IE000Y77LGG9,"(956,1,EUR)",2024-08-29T14:46:53.651Z
IE00B441G979,"(89298,3,EUR)",2024-08-29T14:46:08.454Z
IE00B1XNHC34,"(7406,3,EUR)",2024-08-29T15:27:19.861Z
IE00BGV5VN51,"(1167,1,EUR)",2024-08-29T15:28:02.995Z
IE00BYXYX521,"(260838,4,EUR)",2024-08-29T12:33:39.560Z
LU0489337690,"(24395,3,EUR)",2024-08-29T15:01:59.217Z
DE0005933931,"(15738,2,EUR)",2024-08-29T15:22:03.197Z
IE00BKWQ0F09,"(20145,2,EUR)",2024-08-28T12:03:38.190Z
IE00BKWQ0H23,"(2467,1,EUR)",2024-08-29T14:58:40.773Z
LU1861137484,"(8611,2,EUR)",2024-08-29T13:53:20.141Z
IE000Y77LGG9,"(9566,2,EUR)",2024-08-30T14:17:22.831Z
IE00B441G979,"(89286,3,EUR)",2024-08-30T14:01:57.753Z
IE00B1XNHC34,"(7418,3,EUR)",2024-08-30T15:15:31.777Z
IE00BGV5VN51,"(116,0,EUR)",2024-08-30T15:28:01.052Z
IE00BYXYX521,"(263301,4,EUR)",2024-08-30T12:20:51.591Z
LU0489337690,"(2481,2,EUR)",2024-08-30T14:09:29.132Z
DE0005933931,"(15754,2,EUR)",2024-08-30T15:25:22.635Z
IE00BKWQ0H23,"(24805,2,EUR)",2024-08-30T13:45:54.936Z
IE00BKWQ0F09,"(2011,1,EUR)",2024-08-30T14:25:43.730Z
LU1861137484,"(8652,2,EUR)",2024-08-30T15:21:23.688Z
IE00B441G979,"(89558,3,EUR)",2024-09-02T15:09:52.480Z
IE000Y77LGG9,"(9578,2,EUR)",2024-09-02T15:11:22.908Z
IE00B1XNHC34,"(7421,3,EUR)",2024-09-02T15:25:32.629Z
IE00BGV5VN51,"(11722,2,EUR)",2024-09-02T15:28:45.816Z
IE00BYXYX521,"(259199,4,EUR)",2024-09-02T13:49:41.498Z
LU0489337690,"(24895,3,EUR)",2024-09-02T15:25:38.995Z
DE0005933931,"(15762,2,EUR)",2024-09-02T15:23:47.904Z
IE00BKWQ0F09,"(2015,1,EUR)",2024-09-02T14:05:00.971Z
IE00BKWQ0H23,"(2474,1,EUR)",2024-09-02T15:22:54.386Z
LU1861137484,"(864,1,EUR)",2024-09-02T14:19:26.397Z
