id,customer_account_id,side,instrument,quantity,price,amount,created_at
tr_c57e0228e546493fa2bcbf1ed80190a7,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:31:01.975Z
tr_2b527229ab504670903d4e10f54d88da,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(4000,5)","(964600,4,EUR)","(386,2,EUR)",2025-02-20T14:31:01.773Z
tr_5e3d8a734f774a37864e829870a51692,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:59.709Z
tr_2b133cdfec634fb88c3c6718caf451df,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:58.267Z
tr_786c6479097b407c8099e27bf936bb02,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:58.180Z
tr_7515154ecc0249eba24425162fe6de4d,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:57.953Z
tr_b7c3ac35fe6649e5a75b792d0e66c350,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:57.598Z
tr_9712f0315b57433ca945a7b7c3dc4050,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:56.749Z
tr_b32fda9f4f584765bf40fcc05b83f7a6,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:56.597Z
tr_94ef71d8043b43aeb7690ad68a5678db,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:56.289Z
tr_163db18467db4160847c12f886321e86,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:56.278Z
tr_da7fc8ff72a84af1be26ebd122d66d1e,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.808Z
tr_2305a339a9ac4a989e0770e938e0d80c,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.569Z
tr_aaa9485e483f4dfb86b4a8ddac41e0e4,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.491Z
tr_65877d47f6234345b4956b3be168b7ff,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.383Z
tr_b1404e0c95404021a979b0833a1aa06f,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.150Z
tr_224d233f661a4380a312f0100ca59035,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:55.094Z
tr_843c649372574f80a9ffbb4001d454e4,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(964600,4,EUR)","(578,2,EUR)",2025-02-20T14:30:49.392Z
tr_757b456aaf26407ab4ee019c45c577ef,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(2000,5)","(964600,4,EUR)","(192,2,EUR)",2025-02-20T14:30:43.939Z
tr_482d07c3bf0e4b8a83bb216e7962603d,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:16.571Z
tr_b81200435db045c599b359e77c48c608,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:15.190Z
tr_e98bf54b4f214bc988d5fed328f593b4,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:12.162Z
tr_d54dd59ede354729b29838857d473672,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:11.559Z
tr_18384aaf94dc4fd0819741efbdead829,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:10.813Z
tr_031cb25a272e4a2fbeb98f6ca9c74fb2,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:10.367Z
tr_14e369b475bb4bdf844d355a735545cf,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:09.786Z
tr_66c959022f1e4cc989d2282582eb6017,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:09.484Z
tr_c0fb26f3139842a3bfbc1a1ec1a76ea7,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:08.977Z
tr_a30aec1c226745fc8f08da5e013dc667,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:08.794Z
tr_a222b17a9b2e4a078732815a7654b241,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:08.205Z
tr_9b2e4fb3e1094e1082e44361c90e051d,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:07.965Z
tr_9f2bf22dabed468cb085bfaa63e9ac40,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:07.655Z
tr_1dd260b6886042259993c6bea28f88ce,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:07.550Z
tr_75a2c368e4ad4542a7d4f97f1385b356,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:07.211Z
tr_ad8e6113a8c04a3ca952825246d2aa58,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:06.834Z
tr_e4a7b909c2624fd4ba6179fbb6f03916,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:06.543Z
tr_b5c9329f7889439a94e749899664ecac,cusa_e33eb1c5553b4f68ab6891a979d3891b,buy,IE00B441G979,"(5181,5)","(965040,4,EUR)","(500,2,EUR)",2025-02-20T14:30:06.308Z
tr_8a9f35ed033649b7b7d4a7825d091ac7,cusa_e33eb1c5553b4f68ab6891a979d3891b,sell,IE00B441G979,"(6000,5)","(962960,4,EUR)","(577,2,EUR)",2025-02-19T14:30:47.631Z
